"Piezo Voltage (V)";"Fast In 3 (V)";"Lock-In Out (V)";
58.614155;0.2644574;-9.9034078e-06;
58.664867;0.26416779;-4.1499996e-05;
58.715611;0.2626996;0.00021693179;
58.766361;0.26144007;1.2261362e-05;
58.817112;0.26020864;-6.6022722e-06;
58.867863;0.2589457;-4.2443178e-05;
58.918606;0.25762892;5.8477264e-05;
58.969364;0.2562691;-1.0374999e-05;
59.020061;0.25476298;-2.6409089e-05;
59.070805;0.25325736;-6.5079541e-05;
59.121563;0.25163603;-0.00011035226;
59.172306;0.25061354;4.2443176e-06;
59.223057;0.24921554;-6.8852263e-05;
59.273808;0.24801643;-9.9034078e-05;
59.324558;0.24729848;-9.9034078e-05;
59.375256;0.24685645;-0.0001136534;
59.426014;0.24731511;-0.00014902272;
59.476757;0.24860522;-0.00020419883;
59.527508;0.25048974;-0.00027729542;
59.578259;0.24802499;-0.00026833519;
59.629009;0.24671604;0.00067390333;
59.679752;0.24646775;-8.2056809e-05;
59.730465;0.2466062;-0.00024098293;
59.781208;0.2473567;-0.00015373861;
59.831959;0.2484362;-0.00011789771;
59.88271;0.2497219;-7.5454533e-05;
59.93346;0.25104749;2.5937497e-05;
59.984203;0.25256461;6.6022722e-06;
60.034962;0.25398999;-5.4232947e-05;
60.085659;0.25546283;-2.2636361e-05;
60.136402;0.2569961;4.2443178e-05;
60.18716;0.2583586;3.0653406e-05;
60.237904;0.25953498;-1.1789772e-05;
60.288654;0.26100636;7.828408e-05;
60.339405;0.26223212;-6.6022722e-06;
60.390156;0.26324657;-5.2346586e-05;
60.440853;0.2641218;-8.0170448e-06;
60.491611;0.26476538;-3.6312496e-05;
60.542355;0.2655758;-2.0749998e-05;
60.593105;0.26614061;9.7147713e-05;
60.643856;0.26664209;3.5369314e-05;
60.694607;0.26692265;-7.5454536e-06;
60.74535;0.26727223;2.7352269e-05;
60.796062;0.26758999;6.3193176e-05;
60.846806;0.26788059;1.8863634e-06;
60.897556;0.26789698;4.998863e-05;
60.948307;0.26800412;-2.8295451e-06;
60.999058;0.26802957;-2.216477e-05;
61.049801;0.26821473;-7.5454536e-06;
61.100559;0.26814723;2.4522724e-05;
